Sampling time,Reactor Temperature,Jacket Temperature,Heater current,Coolant flowrate,,,,,,,,,,,,,
103.5,46.70280847,37.54635999,20,8,,,,,,,,,,,,,
104,46.57846449,37.74953641,20,8,,,,,,,,,,,,,
104.5,46.45412052,37.52096293,20,8,,,,,,,,,,,,,
105,46.70280847,37.24159534,20,8,,,,,,,,,,,,,
105.5,46.79606645,37.62255115,20,8,,,,,,,,,,,,,
106,46.79606645,37.36858061,20,8,,,,,,,,,,,,,
106.5,45.70805668,36.5558749,20,8,,,,,,,,,,,,,
107,46.70280847,37.72413936,20,8,,,,,,,,,,,,,
107.5,47.63538827,37.9781099,20,8,,,,,,,,,,,,,
108,47.0447544,38.46065391,20,8,,,,,,,,,,,,,
108.5,47.82190423,38.3590657,20,8,,,,,,,,,,,,,
109,47.54213029,38.20668338,20,8,,,,,,,,,,,,,
109.5,46.70280847,37.69874231,20,8,,,,,,,,,,,,,
110,46.79606645,37.80033052,20,8,,,,,,,,,,,,,
110.5,46.14326058,36.98762481,20,8,,,,,,,,,,,,,
111,46.70280847,37.54635999,20,8,,,,,,,,,,,,,
111.5,47.4799583,37.6479482,20,8,,,,,,,,,,,,,
112,46.20543257,37.85112463,20,8,,,,,,,,,,,,,
112.5,47.13801238,38.61303623,20,8,,,,,,,,,,,,,
113,47.66647427,38.23208043,20,8,,,,,,,,,,,,,
113.5,47.5110443,37.9781099,20,8,,,,,,,,,,,,,
114,46.79606645,37.44477177,20,8,,,,,,,,,,,,,
114.5,46.98258241,37.24159534,20,8,,,,,,,,,,,,,
115,46.98258241,37.52096293,20,8,,,,,,,,,,,,,
115.5,46.98258241,36.68286017,20,8,,,,,,,,,,,,,
116,45.95674462,36.75905133,20,8,,,,,,,,,,,,,
116.5,47.10692638,37.54635999,20,8,,,,,,,,,,,,,
117,47.07584039,37.74953641,20,8,,,,,,,,,,,,,
117.5,46.70280847,37.74953641,20,8,,,,,,,,,,,,,
118,47.66647427,37.95271284,20,8,,,,,,,,,,,,,
118.5,46.14326058,37.34318356,20,8,,,,,,,,,,,,,
119,46.76498045,37.39397767,20,8,,,,,,,,,,,,,
119.5,45.70805668,37.08921302,20,8,,,,,,,,,,,,,
120,47.13801238,37.87652168,20,8,,,,,,,,,,,,,
120.5,47.5110443,37.85112463,20,8,,,,,,,,,,,,,
121,47.4799583,37.95271284,20,8,,,,,,,,,,,,,
121.5,47.13801238,37.11461008,20,8,,,,,,,,,,,,,
122,47.54213029,37.19080124,20,8,,,,,,,,,,,,,
122.5,47.10692638,37.6479482,20,8,,,,,,,,,,,,,
123,47.13801238,37.69874231,20,8,,,,,,,,,,,,,
123.5,46.95149641,37.54635999,20,8,,,,,,,,,,,,,
124,47.26235635,37.62255115,20,8,,,,,,,,,,,,,
124.5,47.5110443,37.74953641,20,8,,,,,,,,,,,,,
125,46.70280847,37.19080124,20,8,,,,,,,,,,,,,
125.5,46.51629251,36.80984544,20,8,,,,,,,,,,,,,
126,47.07584039,37.39397767,20,8,,,,,,,,,,,,,
126.5,47.82190423,37.34318356,20,8,,,,,,,,,,,,,
127,47.41778632,37.29238945,20,8,,,,,,,,,,,,,
127.5,47.26235635,37.54635999,20,8,,,,,,,,,,,,,
128,47.41778632,37.95271284,20,8,,,,,,,,,,,,,
128.5,47.26235635,37.54635999,20,8,,,,,,,,,,,,,
129,47.13801238,37.29238945,20,8,,,,,,,,,,,,,
129.5,47.4799583,37.54635999,20,8,,,,,,,,,,,,,
130,47.35561433,37.74953641,20,8,,,,,,,,,,,,,
130.5,47.85299023,38.20668338,20,8,,,,,,,,,,,,,
131,46.92041042,37.49556588,20,8,,,,,,,,,,,,,
131.5,47.35561433,37.85112463,20,8,,,,,,,,,,,,,
132,47.41778632,37.9781099,20,8,,,,,,,,,,,,,
132.5,46.79606645,38.43525686,20,8,,,,,,,,,,,,,
133,47.4799583,37.74953641,20,8,,,,,,,,,,,,,
133.5,47.5110443,37.69874231,20,8,,,,,,,,,,,,,
134,47.66647427,37.85112463,20,8,,,,,,,,,,,,,
134.5,47.4799583,37.72413936,20,8,,,,,,,,,,,,,
135,47.35561433,37.90191874,20,8,,,,,,,,,,,,,
135.5,47.41778632,38.05430106,20,8,,,,,,,,,,,,,
136,47.85299023,38.91780088,20,8,,,,,,,,,,,,,
136.5,47.79081824,38.56224213,20,8,,,,,,,,,,,,,
137,47.26235635,37.85112463,20,8,,,,,,,,,,,,,
137.5,47.23127036,37.29238945,20,8,,,,,,,,,,,,,
138,46.64063648,38.3590657,20,8,,,,,,,,,,,,,
138.5,46.5473785,37.39397767,20,8,,,,,,,,,,,,,
139,47.60430228,37.74953641,20,8,,,,,,,,,,,,,
139.5,48.22602215,38.53684507,20,8,,,,,,,,,,,,,
140,47.5110443,37.39397767,20,8,,,,,,,,,,,,,
140.5,47.13801238,36.80984544,20,8,,,,,,,,,,,,,
141,47.79081824,37.74953641,20,8,,,,,,,,,,,,,
141.5,47.72864625,37.36858061,20,8,,,,,,,,,,,,,
142,48.22602215,37.74953641,20,8,,,,,,,,,,,,,
142.5,47.85299023,38.66383034,20,8,,,,,,,,,,,,,
143,46.45412052,37.29238945,20,8,,,,,,,,,,,,,
143.5,47.79081824,37.95271284,20,8,,,,,,,,,,,,,
144,48.25710814,38.96859498,20,8,,,,,,,,,,,,,
144.5,47.54213029,37.90191874,20,8,,,,,,,,,,,,,
145,47.13801238,37.03841892,20,8,,,,,,,,,,,,,
145.5,47.63538827,37.80033052,20,8,,,,,,,,,,,,,
146,48.35036612,39.1209773,20,8,,,,,,,,,,,,,
146.5,46.98258241,38.10509516,20,8,,,,,,,,,,,,,
147,47.79081824,37.85112463,20,8,,,,,,,,,,,,,
147.5,47.54213029,37.87652168,20,8,,,,,,,,,,,,,
148,47.60430228,37.69874231,20,8,,,,,,,,,,,,,
148.5,46.82715244,37.29238945,20,8,,,,,,,,,,,,,
149,47.63538827,37.2669924,20,8,,,,,,,,,,,,,
149.5,46.98258241,37.34318356,20,8,,,,,,,,,,,,,
150,47.66647427,37.9781099,20,8,,,,,,,,,,,,,
